example_id,inbound_text,prior_turns_json,cluster,sentiment,turn_type,gold_intent,gold_escalate,gold_escalate_reason,reply_checklist,pred_intent,pred_confidence,draft_reply,pred_escalate,pred_escalate_reason,human_issue_understanding,human_correctness,human_brand_voice,human_actionability,human_escalation_appropriate,human_comment
86,[USER] i need y’all to get it together and fix this bs and act like y’all see people complaining about it. I️I️,[],3,positive,single_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
187,"[USER] How can I delete this space Occupied by ""System""? They are more than 10GB .... Thanks! https://t.co/VnKsw9QYqe","[{""role"": ""user"", ""text"": ""[USER] [USER] [USER] [USER] [USER] Como puedo eliminar este espacio Ocupado por \u201cSistema\u201d? Son mas de 10GB.... Gracias!""}, {""role"": ""assistant"", ""text"": ""[USER] We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs""}]",9,positive,multi_turn,conversation_followup_status,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Acknowledge status warmly; confirm if further assistance is needed; sign off courteously. Never promise ungrounded facts or ETAs.,conversation_followup_status,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
179,[USER] I followed a video and it suggested signing out of my iCloud account and it immediately fixed the freezing finder issue.,"[{""role"": ""user"", ""text"": ""[USER] Finder freezes every time I try to delete a file on High Sierra. I tried to open Quicktime to take a screen video of it and that freezes on open. So far, that makes 4 apps that don't work on High Sierra update...Finder being the most problematic obviously.""}, {""role"": ""assistant"", ""text"": ""[USER] Let's see what w can find out about your computer! Which version of macOS High Sierra are you running currently? This can be found by clicking the Apple logo in the top left corner and then \u201cAbout This Mac\u201d in the drop down menu.""}, {""role"": ""user"", ""text"": ""[USER] Version 10.13.1""}, {""role"": ""assistant"", ""text"": ""[USER] Thanks for letting us know. Have you tried to restart the Mac? Do you have the same issues if you start your Mac in safe mode? This article will explain how to start in safe mode: https://t.co/PQ4LSYhUTY""}]",9,negative,multi_turn,account_icloud_store,True,Thread length: 3+ prior unresolved conversation turns,Express professional empathy/apology for frustration; Never ask for passwords or full card numbers; direct to secure Apple ID portal or private DM. Never promise ungrounded facts or ETAs.,account_icloud_store,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'account_icloud_store' is tagged as high-risk,,,,,,
97,[USER] I phone 7+ 😅,"[{""role"": ""assistant"", ""text"": ""[USER] We can check into what's going on. Can you tell us what you're experiencing?""}, {""role"": ""user"", ""text"": ""[USER] I gotta start from the top and I can\u2019t fix words in the middle of anything.""}, {""role"": ""assistant"", ""text"": ""[USER] Just to confirm, when you're using Notes, you're unable to tap on the display and start at any point, is that correct?""}, {""role"": ""user"", ""text"": ""[USER] Yeah that\u2019s correct""}]",4,positive,multi_turn,device_os_glitch,True,Thread length: 3+ prior unresolved conversation turns,Acknowledge severe glitch; recommend force restart steps; ask for exact iOS version; direct to DM. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
24,[USER] [USER] Me too! “i” seems like an important letter for Apple to get right....,"[{""role"": ""user"", ""text"": ""Anyone else\u2019s #iphone inserting this weird symbol \u201cI\ufe0f \u201c instead of the letter \u201ci\u201d? Annoying. I\ufe0f phone. See! [USER]""}]",1,positive,multi_turn,keyboard_text_glitch,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Direct customer to Text Replacement workaround in Settings or latest iOS patch; do not blame customer. Never promise ungrounded facts or ETAs.,keyboard_text_glitch,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
91,[USER] [USER] My phone won’t stop locking up or turning itself off since the stupid update. And my camera refuses to work half the time lately. I’ve had it since May 😡,"[{""role"": ""user"", ""text"": ""Hey [USER] my phone is dropping calls and I\u2019ve only had it one year.  Soooooo this needs to be fixed like now.""}]",4,negative,multi_turn,software_update_ios,True,High-risk intent: OS update defect/regression requires support ticket,Express professional empathy/apology for frustration; Clarify current iOS version; confirm backup status before updating; link to update knowledgebase article. Never promise ungrounded facts or ETAs.,software_update_ios,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'software_update_ios' is tagged as high-risk,,,,,,
88,[USER] is there any one to help me out,[],3,positive,single_turn,conversation_followup_status,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Acknowledge status warmly; confirm if further assistance is needed; sign off courteously. Never promise ungrounded facts or ETAs.,other,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
67,"Had my iphone back for 3 hours, and my MacBook Pro just quit mid update and won’t turn back on. 👀👀👀 [USER]",[],2,neutral,single_turn,macos_hardware_support,True,High-risk intent: Mac hardware/system failure requires hardware specialist,Request Mac model and macOS release; suggest NVRAM/SMC reset or Safe Mode boot; offer Genius Bar option. Never promise ungrounded facts or ETAs.,macos_hardware_support,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'macos_hardware_support' is tagged as high-risk,,,,,,
11,Uygulamalarda ve videolarda ekran donması sorununu da düzeltir mi peki? #ios1111 [USER] [USER] https://t.co/M5xgMf0CBx,[],0,neutral,single_turn,non_english_inquiry,True,Routing: non-English language query requires localized human support agent,Acknowledge in language if possible; offer English or route to regional support channel. Never promise ungrounded facts or ETAs.,software_update_ios,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",True,Intent 'software_update_ios' is tagged as high-risk,,,,,,
117,[USER] guys been having problems with registering my iTunes,[],5,negative,single_turn,media_audio_services,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Express professional empathy/apology for frustration; Guide through force-closing music app and checking audio settings; ask for headset/device model. Never promise ungrounded facts or ETAs.,media_audio_services,0.89,"We'd be glad to help make sure your device is working as expected. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
137,"Has anyone else on #iOS11 noticed that whatever WiFi network you select, it keeps defaulting to the first one you connected to during setup?[USER]",[],6,neutral,single_turn,connectivity_network_issue,False,Routine inquiry: standard troubleshooting or known self-service workaround available,Advise toggle Airplane Mode / restart; ask for carrier and device model; direct to DM. Never promise ungrounded facts or ETAs.,connectivity_network_issue,0.89,"This is certainly not the experience we want you to have, and we understand how frustrating this can be. To get started, please send us a Direct Message with your device model and current iOS/OS version so we can look into this with you: https://t.co/GDrqU22YpT",False,All escalation rules passed,,,,,,
